 ,Frame,Label,X,Y,Area,Area Conv. Hull,Peri.,Peri. Conv. Hull,Feret,Min. Feret,Maximum inscriped circle diameter,Area equivalent circle diameter,Long Side Length MBR,Short Side Length MBR,Aspect Ratio,Area/Peri.,Circ.,Elong.,Convexity,Solidity,Num. of Holes,Thinnes Rt.,Contour Temp.,Orientation,Fract. Dim.,Fract. Dim. Goodness
139,1,139,2317.277,409.180,16750.683,17158.201,481.911,482.278,183.474,124.978,119.570,146.040,159.167,129.326,1.231,34.759,13.864,0.539,1,0.976,0,0.906,0.088,137.030,1.768,0.998
140,1,140,3339.129,362.901,1867.790,1952.690,152.191,153.086,52.528,40.976,42.023,48.766,50.970,42.023,1.213,12.273,12.401,0.439,1,0.957,0,1.000,0.119,57.971,1.281,0.955
141,1,141,4144.781,404.534,9585.160,9831.369,355.723,359.840,138.457,85.788,86.042,110.473,137.225,87.461,1.569,26.946,13.202,0.620,1,0.975,0,0.952,0.135,79.681,1.703,0.990
142,1,142,4796.709,411.878,16156.386,16462.025,458.193,465.668,164.672,131.861,123.620,143.426,152.465,131.861,1.156,35.261,12.994,0.422,1,0.981,0,0.967,0.144,112.331,1.768,0.998
143,1,143,736.686,361.705,2682.826,2793.196,188.287,189.319,73.770,49.468,48.055,58.446,65.153,52.123,1.250,14.249,13.214,0.585,1,0.960,0,0.951,0.117,174.508,1.391,0.957
144,1,144,1843.948,386.891,9398.381,9568.180,342.389,347.449,126.068,94.196,93.966,109.391,113.636,101.981,1.114,27.449,12.473,0.495,1,0.982,0,1.000,0.141,145.166,1.587,0.990
145,1,145,2409.471,380.505,5034.544,5238.303,255.909,257.067,93.286,67.760,65.153,80.064,89.950,66.571,1.351,19.673,13.008,0.523,1,0.961,0,0.966,0.114,129.116,1.588,0.966
146,1,146,3770.689,401.232,6758.005,6987.234,316.014,320.155,129.424,68.484,68.209,92.761,116.877,73.077,1.599,21.385,14.777,0.695,1,0.967,0,0.850,0.138,68.398,1.578,0.992
147,1,147,235.353,385.083,7275.892,7403.242,298.858,303.833,100.598,88.535,87.413,96.249,94.775,88.618,1.069,24.346,12.276,0.316,1,0.983,0,1.000,0.145,139.304,1.551,0.990
148,1,148,861.305,377.140,3005.444,3115.814,211.340,214.132,91.447,45.935,45.514,61.860,86.288,47.432,1.819,14.221,14.861,0.716,1,0.965,0,0.846,0.138,118.379,1.424,0.967
149,1,149,2712.544,368.217,3328.063,3480.882,215.536,221.699,85.746,43.706,46.620,65.095,84.499,43.706,1.933,15.441,13.959,0.697,1,0.956,0,0.900,0.163,3.886,1.460,0.933
150,1,150,5059.993,367.521,1256.513,1315.943,124.860,126.163,45.234,30.407,31.382,39.998,46.070,28.697,1.605,10.063,12.407,0.575,1,0.955,0,1.000,0.132,110.398,1.181,0.862
151,1,151,2021.586,410.317,7114.583,7573.041,311.818,313.951,116.550,80.860,74.628,95.177,115.673,80.590,1.435,22.816,13.666,0.553,1,0.939,0,0.920,0.122,47.798,1.539,0.991
152,1,152,4271.739,374.007,1392.353,1460.272,128.100,129.103,46.070,35.935,36.856,42.105,40.793,37.879,1.077,10.869,11.786,0.442,1,0.953,0,1.000,0.125,148.996,1.224,0.861
153,1,153,1269.593,413.817,8888.984,9152.173,351.818,352.839,136.977,90.655,90.655,106.385,122.551,92.141,1.330,25.266,13.925,0.570,1,0.971,0,0.902,0.106,44.739,1.611,0.997
154,1,154,3511.222,398.981,7674.920,7963.579,320.291,324.858,127.208,79.149,75.981,98.853,126.505,81.272,1.557,23.962,13.366,0.611,1,0.964,0,0.940,0.140,164.531,1.625,0.992
155,1,155,2855.088,407.891,8872.004,9016.333,337.821,345.030,133.143,87.413,88.186,106.284,122.378,87.413,1.400,26.262,12.863,0.579,1,0.984,0,0.977,0.153,20.720,1.682,0.991
156,1,156,3045.556,447.292,16928.972,18041.157,500.186,502.806,181.800,121.261,113.150,146.815,179.521,121.263,1.480,33.845,14.779,0.578,1,0.938,0,0.850,0.117,145.413,1.779,0.999
157,1,157,5315.403,405.604,3489.372,3642.191,212.960,213.878,76.980,58.275,57.689,66.654,72.844,58.275,1.250,16.385,12.997,0.485,1,0.958,0,0.967,0.113,107.430,1.454,0.964
158,1,158,5501.064,429.493,7590.021,7878.679,316.387,319.907,121.193,81.585,82.413,98.305,117.276,84.700,1.385,23.990,13.188,0.566,1,0.963,0,0.953,0.134,78.824,1.624,0.992
159,1,159,2097.089,425.247,4813.805,5000.584,264.009,269.823,110.952,65.153,62.764,78.289,96.154,67.016,1.435,18.233,14.479,0.633,1,0.963,0,0.868,0.154,115.031,1.463,0.980
160,1,160,3397.033,397.784,2597.927,2674.336,176.200,178.996,60.069,52.448,52.770,57.513,52.448,52.448,1.000,14.744,11.951,0.131,1,0.971,0,1.000,0.143,87.577,1.369,0.955
161,1,161,437.836,481.025,27473.498,27897.996,597.051,601.569,224.132,166.775,165.854,187.030,199.863,173.068,1.155,46.015,12.975,0.495,1,0.985,0,0.969,0.124,75.768,1.745,0.999
162,1,162,778.330,417.493,5085.484,5212.833,258.776,261.562,97.947,61.189,64.103,80.468,93.240,61.189,1.524,19.652,13.168,0.571,1,0.976,0,0.954,0.133,84.289,1.495,0.978
163,1,163,1401.596,431.480,10765.264,10994.493,368.683,373.135,134.696,107.509,105.057,117.076,113.636,110.723,1.026,29.199,12.626,0.416,1,0.979,0,0.995,0.136,48.693,1.633,0.994
164,1,164,3258.408,436.112,10578.485,10756.774,378.485,380.876,151.543,90.511,91.029,116.056,150.419,90.655,1.659,27.950,13.542,0.641,1,0.983,0,0.928,0.120,49.775,1.669,0.997
165,1,165,3884.686,412.520,3650.681,3803.500,218.193,219.494,83.894,55.629,53.727,68.178,78.401,55.667,1.408,16.731,13.041,0.594,1,0.960,0,0.964,0.119,118.479,1.474,0.965
166,1,166,4217.812,423.319,5026.054,5238.303,253.916,259.367,95.267,67.016,64.103,79.996,87.413,67.016,1.304,19.794,12.828,0.548,1,0.959,0,0.980,0.153,99.782,1.591,0.961
167,1,167,5233.061,428.273,8413.546,8583.346,324.487,330.685,115.268,90.048,88.953,103.501,110.723,90.326,1.226,25.929,12.515,0.441,1,0.980,0,1.000,0.149,91.133,1.654,0.991
168,1,168,1719.727,427.650,6121.258,6325.017,285.524,287.283,107.217,67.883,70.172,88.283,106.701,69.504,1.535,21.439,13.318,0.615,1,0.968,0,0.944,0.120,37.193,1.545,0.992
169,1,169,5169.276,412.814,1884.770,1961.180,157.716,160.911,61.810,40.793,40.793,48.987,49.448,45.327,1.091,11.950,13.197,0.570,1,0.961,0,0.952,0.151,97.269,1.282,0.937
170,1,170,579.808,434.773,6698.575,7190.993,308.869,309.992,119.783,75.556,73.018,92.352,106.062,75.645,1.402,21.687,14.242,0.612,1,0.932,0,0.882,0.110,150.382,1.578,0.991
